Transaction ID	Transaction Type	Timestamp	Sender	Receiver	Amount (in BTC)
a6fcf3dd1882e81436e554acdc7e11845f17d3735427a7a5c6d6b9e3b877a2c5	init	0	coinbase	0	21
80d19467ed83cc0c6716f9f908913dd5a0cf7899fd34b4da41833c8f65a095f5	init	0	coinbase	1	21
c1e77de17b6c4fde8de35fc3c7ea6443e83d16eb81b76b6ac7edecab2e8b47c2	init	0	coinbase	2	32
34d42acd174e578bf604265863eb96228e8b064e23b5571d3fa948aab016185b	init	0	coinbase	3	38
f938b0cbb6974eaf4ca10d235d11a6e19fe3dda382e7bef7ad9459d28d7b23dd	init	0	coinbase	4	34
05a8259fe72b50b7f00bbc9e48183d4ff4f57410a529e813cabbcd3a637a53b4	init	0	coinbase	5	32
f1f2a27b76c5db601b980671caa222cf482f0203c86a45e53ccbbdd03c004a7c	init	0	coinbase	6	20
8e75e0f18226fe68b7dbbe15315cacb3a6b8adb81f376c3f6e721a2cb421a5b6	init	0	coinbase	7	38
f5a9125390ff843c6af00d981dc567dcddad54f306dd7932138f82337d481753	init	0	coinbase	8	28
072fad19088796b7476ed43708027ce733f31d3faa093eefdd0516b3a1f0bd03	init	0	coinbase	9	34
0093e017963d63a769c26ee036f0be8d4c9067a4e95aa276e6b9ff31fc9bd1df	init	0	coinbase	10	21
0769232b0d7ba092016db3a1d07d2bf97e4f7c58d2771bd4d2f1ca5a35a9798c	init	0	coinbase	11	39
3d5297488ea2e55964cb028dd9eae8da5254e5d46b3687de2432be94e978d1ed	init	0	coinbase	12	25
8ffd0c8361034efe10549cc287a5e5424431273913ee63bf21dc2614f9ca068c	init	0	coinbase	13	23
1222e4d71e786e0d4c7d9a449b2122cd79cf4d1d98f1817bfaaa14facfde5b36	init	0	coinbase	14	33
2b9828b3286f3e9f42074ce16e7accba2fa7e9e830db869d55973edb54b5e16b	init	0	coinbase	15	38
bf11150531b66b55c8e336bdf82d4bec2e9acf45506322a004acaff5b5e4e63b	init	0	coinbase	16	28
2646162dfd148127d45522db24a8bbb23e55b65905992328d972d8b744350896	init	0	coinbase	17	24
c5bc685c9bf9be5d1fba249a1a863c603ccd331c168fc7785a04aff26c71931d	init	0	coinbase	18	24
89f222590e6a258a670c47356b303d372ce83859ce6f3d3957192c8b94736b21	init	0	coinbase	19	26
646f8adfb21bc9b27f8020764aad7f93d7da2f22a89aa2ae1bfeb95df59833ea	payment	0.05978209662497794	8	3	6
1263e0130727942cd0c96e589af94ad850b8deeff00f727c83db9410b83ae9c1	payment	0.11108343491717076	8	3	14
9d34e3852b057328eb8c4eea089f2e1ee77a37217d4f6ff76ee430fc93d7e08b	payment	0.0771450415689919	19	16	9
73f0e18643f55ab211e0eac792227b2fb5facabc107bdcde41975a3b5d9fe623	payment	0.2133368232003846	0	19	1
332851e88750510d29f00d535491aa2cb91c73adecaa5184602660046108779c	payment	0.13624921238831214	18	2	24
1c5141ddf367f4359eb0632dac9c5bd79545ea95f7942b1953d18d6455d3ef98	payment	0.21506615369561705	14	7	14
bcd69914267181db2bdb5de04e32bf9821c4744c6edd850a21447ed2eac18008	payment	0.332182941201139	14	17	19
329c370ea530aa2888549c58b8e206db7b044a8bfd92c1d4173c30b0f1a09e17	payment	0.34434838887879793	16	7	24
ba7c887381bd05a747896342328fa1a06ac388c635a0f8bf47be82d30d55a2a2	payment	0.3452565621244269	16	7	12
8160cbc8f9c586d0229a0f16ae0791c3c78848a819dc82569cb6a02f6da438d6	payment	0.353128089209682	5	19	17
7f55e05db31aed71ec017cbdfa73106270627731a151d0c0c53e5af4b3c82bc7	payment	0.6123501426418799	3	17	25
cc414552353a808599c8060cd3a82f0905b5585661884c3d30bf76b68bb145fc	payment	0.3118579234247429	6	8	17
cdfdd6204b790b3d7d9dac03bbffaa54cd7aa2f35c439977176cc5d950216e4e	payment	0.5811752122475474	2	18	23
7aee67a2b4ab1ef5bdc43c44bd4cc88aed48d5aee07cc5d9b0c1acec8c684129	payment	0.3935715113230065	6	5	1
b6d3dfd054d5e49b8734978cf090472ce22eeae155c8b46d1e5156bcee9f2226	payment	0.6530530532878169	0	14	6
7900e65112188edae30a8c8c2410a2f6cabca7ba65df525177cf6d42f9d022e1	payment	0.5612313282048017	12	4	6
cbc247c7d35f6b007b9f5023b0abb08a0180218c670f15548de32bdd2d911fbe	payment	0.827906989459907	3	17	22
29e74db678f44794f8b1f2ede6dbe8ee1ec9dabd253811bfdb56b5c76fc4e794	payment	0.5449864340178961	10	6	6
717411535df10a25c8a98669a64a4a211951299b6085ce480448b1cbd36a4c38	payment	0.7286129508295736	15	7	21
11adc0fd55a3fc4ef603cbd0cad4d7a964b8a6da8e66886772e71979cbfaa5fa	payment	0.8077536491330156	6	1	4
c79c9eaee24f488e5dc7896dc2c8519c03c28c6b17d06d1e34c9fb5aa92b9c7b	payment	0.7315874706405839	1	9	7
b77a04d25a3292179e9efffa7f6f9aeca5dff4983a26d0a464b1f770d18700a5	payment	0.8723413276222807	12	6	9
0f45a529dda8d0f7a9c2ba5de516683b45e0ee1a297c0ac40a3700fb78847459	payment	0.7310374169308878	10	4	13
167f3e5c7a757bbce96e63a3b22943af392ba928f76409ee2d18deff80fae135	payment	1.0116437893443118	6	11	7
d36ce6400044abcd603e31c4bfa57fec583de492a10d498edffc7098c1763f3c	payment	1.176865179919334	2	6	3
d8e9bf2fdf57d7d9bb6a2a78d2bd100c749ef1e506b54626f16d98e8ddbc692d	payment	1.3379112673008557	0	18	6
cf888bc30773d600406fd8172ff1bd40000ef6a098857f935ace9be82146855d	payment	1.2498072247470386	19	11	17
e9f396eea987ec549ab8ed31e9127db0b517a6b19c0340366e6cbee9c7610c02	payment	1.258173702253667	15	9	16
828f2001fb4a635d22b124ba4dbb794142c2e949a0da73815e68e51487ef2399	payment	1.285177804948903	1	9	4
2150372a9600113bf2f48e2442840413c853597b74c407a7ac5fd65ade4a888c	payment	1.6062314384479561	9	7	16
bc98f0158fc15ab121ee1796d1158ca5fc961c1f76a8d0fafab06a77b914f4c6	payment	1.5402426859619802	6	2	6
b21fca567a224e8ac6c2ee0ad4b34f2493fe9cbacc408a45add296e20d6f9ba4	payment	1.7395499050747492	9	5	7
521ef1f444a010a38599a4dc98799fd0bd9b62c7fd2aa9cea1f47fc0f3ef182b	payment	1.654207859416899	19	2	4
ff5d047b14825bdac6abea617ade71dbcc0de11afb9be292d1645a9a121ee869	payment	1.6200869466215693	18	8	6
5bc0df70915cab7043308fa3a6a261bd49375f85870fa5671526ad5c2c42545f	payment	1.6744969455925756	18	6	5
7353e1892af745443140b23a56ab4978a50cf1d269077fc1c3bcf9e0a3435f26	payment	1.7223802834752182	12	10	8
a92d55619fdf32eb0bd8af2b557fdbc9f1cef461c2640f467b6095ba62ee8f97	payment	1.889943917817805	11	7	29
3ab8e3b0a6be5bad396577087f5b44135751428fd0936d792b1a4ec1800d0071	payment	2.0684143268049535	13	12	5
39c0d40c0ce5606675037376185b7595a06ddafe2aa5a638964de7fba255693d	payment	2.2597477758475972	9	15	1
c3c183afde5412dbb9f9887c09f566f2f3168b2138ceef2416ffd6c0538bd5b3	payment	2.2238306396087717	5	11	11
7bdf98df295b1af5578de67fd6460f0e8228aeb3e551b9e52b060fb4bd15587b	payment	2.1354219181842176	7	0	20
964d1be014a02ec0f92d746c8a09d1ece9009b7413368acdf81da87234af9edd	payment	2.3125512310575154	19	7	3
3b8dca1b8da905f675724743b17974c54a18b573d50e9b46f54990e8b6af9c1d	payment	2.37540191495269	4	16	10
c825e5fcf1049acb49770d1b41280fddd6e5a370584c8df007a38a007f55118c	payment	2.6814785708729985	0	8	15
cb80b5a083eeec1a05b0a381ba555f6111358cc824ccedfbb6d05a4af57f00e2	payment	2.5812538699901393	16	11	11
